rule,sup,conf,lift
Bordeaux-style Red Blend => France,0.03635426364342815,0.6832971800433839,4.019771773295553
France => Bordeaux-style Red Blend,0.03635426364342815,0.2138686461775223,4.019771773295553
Cabernet Sauvignon => US,0.05628178593686284,0.7722761824324325,1.841580575864628
US => Cabernet Sauvignon,0.05628178593686284,0.13421033318655512,1.841580575864628
Pinot Noir => US,0.07605542774926714,0.7448010849909584,1.7760630745882846
US => Pinot Noir,0.07605542774926714,0.18136283575517392,1.7760630745882844
Chardonnay => US,0.052327057574381976,0.5786607674636263,1.3798825518863749
US => Chardonnay,0.052327057574381976,0.12477983267283135,1.3798825518863749
